Description...,Accession,Gene_id,BT_1,BT_2,BT_3,BT_4,BT_5,BT_6,BT_7,BT_8,BT_9,BT_10,BT_11,BT_12,BT_13,BT_14,CJK_1,CJK_2,CJK_3,CJK_4,CJK_5,CJK_6,CJK_7,CJK_8,CJK_9,CJK_10,CJK_11,CJK_12,CJK_13,CJK_14,CJK_16,CJK_17,CJK_18,CJK_19,CJK_20
Neuroblast differentiation-associated protein AHNAK OS=Homo sapiens OX=9606 GN=AHNAK PE=1 SV=2,Q09666|AHNK_HUMAN,AHNAK,3208900000,2374900000,2880800000,1909900000,3236700000,3255400000,3441100000,2948000000,2548700000,1770600000,2411100000,2038000000,3105200000,2409800000,2296400000,201810000,5520600000,1276900000,3526700000,1872000000,5389500000,1107000000,5859000000,3463400000,7258500000,1182700000,2700500000,2351600000,1754100000,1479000000,1692100000,595420000,1666300000
Plectin OS=Homo sapiens OX=9606 GN=PLEC PE=1 SV=3,Q15149|PLEC_HUMAN,PLEC,1943300000,2154300000,1846100000,2267400000,1739200000,3055300000,793750000,1187500000,1402000000,1922900000,1803500000,2018600000,1165800000,1869100000,1098600000,260490000,1539300000,831110000,1355200000,1775800000,1518800000,648160000,3561400000,2864700000,3362500000,1242900000,1354800000,1511200000,984310000,1251900000,1832600000,292760000,1066500000
Myosin-9 OS=Homo sapiens OX=9606 GN=MYH9 PE=1 SV=4,P35579|MYH9_HUMAN,MYH9,4878900000,3330900000,10736000000,6690100000,5485700000,4331500000,6710200000,5387200000,5847800000,5327800000,6895400000,3779000000,5840500000,5312000000,4444200000,767110000,7021600000,1986500000,4867800000,3289200000,7690900000,1779800000,10729000000,7076500000,11502000000,909280000,4644600000,5552000000,5250200000,4220100000,5980200000,1907800000,4852900000
Filamin-A OS=Homo sapiens OX=9606 GN=FLNA PE=1 SV=4,P21333|FLNA_HUMAN,FLNA,3334200000,2846200000,5687800000,6196000000,4257700000,4771100000,3792500000,4698200000,3319800000,5489500000,4068500000,3320400000,3754300000,4735100000,6418900000,1338400000,11726000000,3389000000,8381600000,7348900000,11474000000,4003700000,13659000000,14943000000,16243000000,5350900000,5984200000,11522000000,15136000000,4641000000,11778000000,2661700000,7224100000
Myosin-10 OS=Homo sapiens OX=9606 GN=MYH10 PE=1 SV=3,P35580|MYH10_HUMAN,MYH10,2329900000,1185000000,4318300000,3231700000,2724200000,1637000000,3258100000,3862000000,3442200000,3314800000,2670100000,2527500000,2741200000,2451800000,1737500000,342550000,4572500000,668480000,4752800000,1279200000,7085000000,1080600000,7158100000,3730300000,7526000000,230530000,2489700000,2314300000,2947200000,1776400000,1646000000,941800000,2054100000
Cytoplasmic dynein 1 heavy chain 1 OS=Homo sapiens OX=9606 GN=DYNC1H1 PE=1 SV=5,Q14204|DYHC1_HUMAN,DYNC1H1,544400000,254110000,883060000,505250000,527220000,467710000,716170000,514400000,560290000,390410000,724970000,334890000,615510000,424040000,873530000,151260000,1666600000,403560000,1012800000,987860000,1119100000,197770000,1482700000,1171300000,1528300000,483000000,813380000,979140000,809940000,727020000,869710000,402110000,524550000
Talin-1 OS=Homo sapiens OX=9606 GN=TLN1 PE=1 SV=3;,Q9Y490|TLN1_HUMAN,TLN1,1189900000,817080000,2121300000,1269300000,1229000000,1420400000,1326800000,1142100000,1227700000,1263600000,1349200000,854820000,883870000,1025300000,3173900000,479680000,2982400000,873660000,2358600000,1614200000,2318800000,449500000,2384800000,2200500000,3163500000,1189700000,1415700000,1990400000,1518200000,1068800000,1231500000,727210000,829480000
Spectrin alpha chain  non-erythrocytic 1 OS=Homo sapiens OX=9606 GN=SPTAN1 PE=1 SV=3,Q13813|SPTN1_HUMAN,SPTAN1,659930000,317780000,736000000,553710000,579590000,642330000,797570000,697850000,617800000,449710000,531920000,405700000,670630000,364320000,568420000,114550000,1402100000,355340000,714210000,699390000,1006700000,235790000,1647100000,1300400000,1628800000,416430000,649380000,846930000,606190000,561470000,787440000,321790000,594330000
Spectrin beta chain  non-erythrocytic 1 OS=Homo sapiens OX=9606 GN=SPTBN1 PE=1 SV=2,Q01082|SPTB2_HUMAN,SPTBN1,532150000,469470000,601990000,535330000,510290000,496140000,583520000,581940000,471820000,515320000,435930000,371770000,564730000,356650000,470250000,94764000,1099100000,309090000,622660000,514330000,970200000,295880000,1998400000,1345800000,1707400000,323900000,757290000,931580000,461930000,554310000,565920000,231890000,693770000
Clathrin heavy chain 1 OS=Homo sapiens OX=9606 GN=CLTC PE=1 SV=5,Q00610|CLH1_HUMAN,CLTC,497150000,308510000,752690000,501330000,516620000,671930000,665020000,553630000,535170000,429660000,573710000,381250000,466800000,443510000,800480000,237020000,1425200000,505650000,644230000,1081000000,907520000,315420000,1512800000,1362600000,1363000000,535430000,723240000,1117300000,936670000,672670000,1083100000,408490000,700800000
